orchard_id,latitude,longitude,ndvi,year,doy,Municipality
X12,41.10728836,36.68497849,0.7944,2013,257,Samsun
X12,41.10728836,36.68497849,0.7622,2013,273,Samsun
X12,41.10728836,36.68497849,0.6907,2013,289,Samsun
X12,41.10728836,36.68497849,0.6923,2013,305,Samsun
X12,41.10728836,36.68497849,0.586,2013,321,Samsun
X12,41.10728836,36.68497849,0.487,2013,337,Samsun
X12,41.10728836,36.68497849,0.4705,2013,353,Samsun
X12,41.10728836,36.68497849,0.4487,2014,1,Samsun
X12,41.10728836,36.68497849,0.4088,2014,17,Samsun
X12,41.10728836,36.68497849,0.4606,2014,33,Samsun
X12,41.10728836,36.68497849,0.4115,2014,49,Samsun
X12,41.10728836,36.68497849,0.6696,2014,65,Samsun
X12,41.10728836,36.68497849,0.7752,2014,81,Samsun
X12,41.10728836,36.68497849,0.811,2014,97,Samsun
X12,41.10728836,36.68497849,0.8051,2014,113,Samsun
X12,41.10728836,36.68497849,0.8434,2014,129,Samsun
X12,41.10728836,36.68497849,0.8457,2014,145,Samsun
X12,41.10728836,36.68497849,0.7896,2014,161,Samsun
X12,41.10728836,36.68497849,0.8121,2014,177,Samsun
X12,41.10728836,36.68497849,0.8134,2014,193,Samsun
X12,41.10728836,36.68497849,0.7849,2014,209,Samsun
X12,41.10728836,36.68497849,0.7925,2014,225,Samsun
X12,41.10728836,36.68497849,0.8154,2014,241,Samsun
X12,41.10728836,36.68497849,0.7674,2014,257,Samsun
X12,41.10728836,36.68497849,0.7523,2014,273,Samsun
X12,41.10728836,36.68497849,0.6621,2014,289,Samsun
X12,41.10728836,36.68497849,0.5539,2014,305,Samsun
X12,41.10728836,36.68497849,0.5447,2014,321,Samsun
X12,41.10728836,36.68497849,0.5175,2014,337,Samsun
X12,41.10728836,36.68497849,0.5757,2014,353,Samsun
X12,41.10728836,36.68497849,0.5598,2015,1,Samsun
X12,41.10728836,36.68497849,0.4861,2015,17,Samsun
X12,41.10728836,36.68497849,0.4569,2015,33,Samsun
X12,41.10728836,36.68497849,0.4718,2015,49,Samsun
X12,41.10728836,36.68497849,0.5311,2015,65,Samsun
X12,41.10728836,36.68497849,0.5782,2015,81,Samsun
X12,41.10728836,36.68497849,0.7771,2015,97,Samsun
X12,41.10728836,36.68497849,0.7879,2015,113,Samsun
X12,41.10728836,36.68497849,0.8432,2015,129,Samsun
X12,41.10728836,36.68497849,0.8366,2015,145,Samsun
X12,41.10728836,36.68497849,0.8538,2015,161,Samsun
X12,41.10728836,36.68497849,0.8762,2015,177,Samsun
X12,41.10728836,36.68497849,0.872,2015,193,Samsun
X12,41.10728836,36.68497849,0.8016,2015,209,Samsun
X12,41.10728836,36.68497849,0.7925,2015,225,Samsun
X12,41.10728836,36.68497849,0.8142,2015,241,Samsun
X12,41.10728836,36.68497849,0.7902,2015,257,Samsun
X12,41.10728836,36.68497849,0.7504,2015,273,Samsun
X12,41.10728836,36.68497849,0.769,2015,289,Samsun
X12,41.10728836,36.68497849,0.6191,2015,305,Samsun
X12,41.10728836,36.68497849,0.5381,2015,321,Samsun
X12,41.10728836,36.68497849,0.5387,2015,337,Samsun
X12,41.10728836,36.68497849,0.494,2015,353,Samsun
X12,41.10728836,36.68497849,0.5104,2016,1,Samsun
X12,41.10728836,36.68497849,0.0575,2016,17,Samsun
X12,41.10728836,36.68497849,0.4981,2016,33,Samsun
X12,41.10728836,36.68497849,0.5304,2016,49,Samsun
X12,41.10728836,36.68497849,0.7175,2016,65,Samsun
X12,41.10728836,36.68497849,0.7891,2016,81,Samsun
X12,41.10728836,36.68497849,0.7768,2016,97,Samsun
X12,41.10728836,36.68497849,0.8742,2016,113,Samsun
X12,41.10728836,36.68497849,0.8716,2016,129,Samsun
X12,41.10728836,36.68497849,0.8567,2016,145,Samsun
X12,41.10728836,36.68497849,0.8273,2016,161,Samsun
X12,41.10728836,36.68497849,0.8509,2016,177,Samsun
